Title,Status,# Rooms,Area,# Car Spots,Condominium Fee,City,Neighborhood,Price,Description,URL
73,House_AD,For sale,3,100m²,2,R$ 1.200,Recife,Madalena,R$ 700.000.,"House in Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/ma-apto-03-quartos-02-suites-100m-oportunidade-na-beira-rio-1011949167
74,House_AD,For sale,3,62m²,,R$ 348,Recife,Barro,R$ 255.000.,"House in Barro, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-possui-62-metros-quadrados-com-3-quartos-em-barro-recife-pe-1011950063
75,House_AD,For rent,,32m²,,,Recife,Casa Forte,R$ 2.000.,"House in Casa Forte, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-apto-de-1-quarto-mobiliado-em-casa-forte-proximo-a-praca-978747100
76,House_AD,For rent,2,52m²,,,Recife,Ilha do Leite,R$ 3.300.,"House in Ilha do Leite, Recife",https://pe.olx.com.br/grande-recife/imoveis/flat-com-2-dormitorios-para-alugar-52-m-por-r-2-500-mes-ilha-do-leite-recife-pe-951240744
77,House_AD,For sale,3,70m²,,R$ 400,Olinda,Casa Caiada,R$ 220.000.,"House in Casa Caiada, Olinda",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-3-dormitorios-a-venda-70-m-por-r-220-000-00-casa-caiada-olinda-pe-952033920
78,House_AD,For sale,3,71m²,,,Recife,Várzea,R$ 409.244.,"House in Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/mt-super-lancamento-proximo-a-ufpe-03-quartos-1-suite-71m-edf-la-vie-1015454450
79,House_AD,For sale,3,82m²,2,,Recife,Torrões,R$ 380.000.,"House in Torrões, Recife",https://pe.olx.com.br/grande-recife/imoveis/san-martin-financiada-excelente-localizacao-escriturada-r-380-000-989514863
80,House_AD,For sale,4,77m²,,R$ 20,Paulista,Janga,R$ 100.000.,"House in Janga, Paulista",https://pe.olx.com.br/grande-recife/imoveis/apartamento-nascente-4-qts-salao-de-festa-quadra-portaria-a-venda-por-r-100-000-994350399
81,House_AD,For sale,5,312m²,4,R$ 2.500,Recife,Jaqueira,R$ 4.400.000.,"House in Jaqueira, Recife",https://pe.olx.com.br/grande-recife/imoveis/central-park-957182082
82,House_AD,For sale,4,401m²,5,R$ 2.500,Recife,Boa Viagem,R$ 7.900.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-tem-401-metros-quadrados-com-4-quartos-em-boa-viagem-recife-per-916610393
83,House_AD,For sale,2,60m²,,R$ 230,Jaboatão dos Guararapes,Candeias,R$ 160.000.,"House in Candeias, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apartamento-duplex-969043629
84,House_AD,For sale,3,66m²,,R$ 0,Jaboatão dos Guararapes,Candeias,R$ 440.000.,"House in Candeias, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apartamento-em-candeias-com-3-quartos-e-a-100-metros-da-praia-edf-candeias-prince-987883963
85,House_AD,,,,,R$ 0,Jaboatão dos Guararapes,Candeias,R$ 1.000.000.,"House in Candeias, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/terrenos/4-lotes-de-terreno-para-troca-por-area-construida-ou-permuta-1004171392
86,House_AD,For sale,3,121m²,2,,Recife,Boa Viagem,R$ 650.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-a-venda-121-m-por-r-650-000-00-boa-viagem-recife-pe-929748465
87,House_AD,For sale,3,126m²,,R$ 0,Recife,Graças,R$ 400.000.,"House in Graças, Recife",https://pe.olx.com.br/grande-recife/imoveis/apto-126-m-3-qts-1-st-espinheiro-986476544
88,House_AD,For sale,4,180m²,2,R$ 1.400,Recife,Boa Viagem,R$ 1.300.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-com-180-m2-com-4-quartos-na-rua-dos-navegantes-em-boa-viagem-1010200641
89,House_AD,,,580m²,,R$ 0,Recife,Santo Amaro,R$ 1.400.000.,"House in Santo Amaro, Recife",https://pe.olx.com.br/grande-recife/comercio-e-industria/clinica-com-16-salas-para-consultorios-902642551
90,House_AD,For sale,4,162m²,3,R$ 920,Recife,Boa Viagem,R$ 1.460.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-em-boa-viagem-com-162-m-e-4-quartos-edf-villa-lobos-905212013
91,House_AD,For sale,5,225m²,2,R$ 1.737,Olinda,Casa Caiada,R$ 300.000.,"House in Casa Caiada, Olinda",https://pe.olx.com.br/grande-recife/imoveis/cobertura-duplex-em-casa-caiada-c-225m2-4-quartos-01-suite-988576964
92,House_AD,,,330m²,,R$ 0,Recife,Imbiribeira,R$ 14.000.,"House in Imbiribeira, Recife",https://pe.olx.com.br/grande-recife/comercio-e-industria/imoveis-comerciais-140m-da-mascarenhas-de-morais-330m2-cada-970622948
93,House_AD,For sale,2,43m²,,R$ 500,Recife,Torre,R$ 340.000.,"House in Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/apto-na-torre-49-m-2-quartos-1suite-lazer-completo-1001844329
94,House_AD,For sale,3,79m²,,R$ 650,Recife,Madalena,R$ 375.000.,"House in Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-com-79-metros-quadrados-com-3-quartos-em-madalena-recife-pe-984766044
95,House_AD,For rent,2,47m²,,,Recife,Boa Viagem,R$ 1.600.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/tudo-novo-taxas-inclusas-aproveite-946455320
96,House_AD,For sale,3,68m²,,R$ 560,Recife,Boa Viagem,R$ 360.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/more-em-boa-viagem-bem-pertinho-tudo-pagando-pouco-946264394
97,House_AD,For sale,5,300m²,,R$ 0,Olinda,Bairro Novo,R$ 690.000.,"House in Bairro Novo, Olinda",https://pe.olx.com.br/grande-recife/imoveis/casa-comercial-em-olinda-bairro-novo-964428092
98,House_AD,For sale,3,69m²,,R$ 180,Olinda,Jardim Atlântico,R$ 280.000.,"House in Jardim Atlântico, Olinda",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-possui-69-metros-quadrados-com-3-quartos-em-jardim-atlantico-olin-988659686
