Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
201,For sale,2.0,40.0,,0.0,Recife,Boa Viagem,220000.0
202,For sale,2.0,49.0,,,Recife,Casa Amarela,369113.0
203,,,15.0,,0.0,Olinda,Casa Caiada,650.0
204,For sale,4.0,162.0,3.0,,Recife,Boa Viagem,1150000.0
205,For sale,4.0,137.0,2.0,,Recife,Boa Viagem,980000.0
206,For rent,3.0,105.0,,,Recife,Boa Viagem,3200.0
207,For sale,2.0,,,,Paulista,Maranguape I,180000.0
208,,,90.0,,0.0,Recife,Afogados,2500.0
209,For rent,,45.0,,0.0,Recife,Santo Amaro,900.0
210,For sale,4.0,155.0,,14.0,Recife,Boa Viagem,2400000.0
211,For sale,3.0,480.0,5.0,0.0,Recife,Água Fria,600000.0
212,For rent,,28.0,,0.0,Recife,Pina,3500.0
213,For sale,3.0,98.0,,750.0,Recife,Boa Viagem,400000.0
214,For sale,3.0,80.0,,0.0,Recife,Campo Grande,270000.0
215,For sale,5.0,74.0,,,Recife,Rosarinho,200000.0
216,For sale,4.0,437.0,2.0,,Recife,Hipódromo,600000.0
217,For rent,3.0,247.0,3.0,0.0,Recife,São José,9900.0
218,For sale,4.0,210.0,3.0,0.0,Recife,Parnamirim,1750000.0
219,For sale,2.0,56.0,,,Recife,Espinheiro,483000.0
220,For sale,3.0,115.0,,1200.0,Recife,Boa Viagem,460000.0
221,For sale,4.0,150.0,2.0,640.0,Gravatá,Nossa Senhora das Graças,530000.0
222,,,800.0,,,Recife,Prado,9000.0
223,For sale,,32.0,,800.0,Jaboatão dos Guararapes,Piedade,180000.0
224,For sale,4.0,165.0,2.0,1000.0,Jaboatão dos Guararapes,Piedade,1180000.0
225,,,33.0,,430.0,Recife,Boa Vista,250000.0
226,,,33.0,,430.0,Recife,Boa Vista,250000.0
227,,,151.0,,2049.0,Recife,Boa Viagem,7500.0
228,For sale,2.0,200.0,2.0,,Camaragibe,Tabatinga,100000.0
229,,,35.0,,600.0,Recife,Espinheiro,1300.0
230,For sale,4.0,225.0,3.0,1000.0,Recife,Espinheiro,1550000.0
231,,,300.0,,0.0,Recife,Afogados,300000.0
232,For sale,3.0,125.0,2.0,400.0,Caruaru,Maurício de Nassau,350000.0
233,For sale,3.0,185.0,2.0,0.0,Caruaru,Pinheirópolis,470000.0
234,For sale,3.0,124.0,2.0,0.0,Caruaru,Manoel Bezerra Lopes,380000.0
235,For sale,2.0,100.0,,180.0,Jaboatão dos Guararapes,Candeias,30000.0
236,For rent,,27.0,,0.0,Jaboatão dos Guararapes,Barra de Jangada,2100.0
237,,,92.0,,1100.0,Recife,Madalena,300000.0
238,,,10.0,,200.0,Recife,Boa Viagem,1400.0
239,For sale,,28.0,,0.0,Recife,Boa Viagem,220000.0
240,,,700.0,,,Recife,Santo Amaro,7000.0
241,,,42.0,,,Recife,Espinheiro,3650.0
242,For rent,2.0,60.0,,0.0,Recife,Imbiribeira,1150.0
243,For rent,3.0,80.0,2.0,0.0,Recife,Espinheiro,2600.0
244,For rent,,36.0,,0.0,Recife,Pina,1750.0
245,For sale,2.0,54.0,,433.0,Recife,Espinheiro,385000.0
246,For sale,3.0,97.0,2.0,0.0,Cabo de Santo Agostinho,Paiva,714000.0
