Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
206,For sale,4.0,172.0,3.0,0.0,Jaboatão dos Guararapes,Piedade,1200000.0
207,For sale,3.0,145.0,0,1000.0,Recife,Tamarineira,760000.0
208,For sale,3.0,75.0,0,730.0,Recife,Casa Forte,410000.0
209,For sale,3.0,116.0,2.0,550.0,Olinda,Casa Caiada,650000.0
210,For sale,,32.0,0,384.0,Recife,Boa Viagem,295000.0
211,For sale,3.0,129.0,0,1000.0,Recife,Casa Amarela,780000.0
212,For sale,2.0,60.0,0,0.0,Recife,Casa Amarela,320000.0
213,For sale,4.0,260.0,3.0,1650.0,Recife,Santana,1300000.0
214,For sale,3.0,100.0,2.0,600.0,Recife,Boa Viagem,539000.0
215,For sale,3.0,120.0,0,822.0,Recife,Boa Viagem,350000.0
216,For sale,3.0,62.0,2.0,0.0,Igarassu,Saramandaia,30000.0
217,For sale,2.0,52.0,0,400.0,Jaboatão dos Guararapes,Piedade,270000.0
218,For sale,3.0,84.0,2.0,0.0,Recife,Rosarinho,842000.0
219,For sale,3.0,67.0,0,450.0,Jaboatão dos Guararapes,Piedade,360000.0
220,For sale,4.0,245.0,2.0,1900.0,Jaboatão dos Guararapes,Piedade,1850000.0
221,For sale,2.0,56.0,0,0.0,Recife,Casa Amarela,305000.0
222,For sale,3.0,70.0,0,0.0,Recife,Afogados,310000.0
223,For sale,4.0,310.0,4.0,3000.0,Recife,Jaqueira,1850000.0
224,For sale,3.0,75.0,0,400.0,Olinda,Casa Caiada,235000.0
225,For sale,4.0,268.0,4.0,1.0,Recife,Pina,3543144.0
226,For sale,3.0,126.0,2.0,880.0,Recife,Pina,1260000.0
227,For sale,3.0,95.0,2.0,740.0,Recife,Espinheiro,650000.0
228,For sale,2.0,51.0,0,250.0,Recife,Várzea,280000.0
229,For sale,3.0,61.0,0,300.0,Recife,Zumbi,320000.0
230,For sale,4.0,174.0,2.0,1100.0,Recife,Boa Viagem,800000.0
231,For sale,4.0,360.0,3.0,0.0,Recife,Boa Viagem,850000.0
232,For sale,3.0,95.0,2.0,740.0,Recife,Espinheiro,650000.0
233,For sale,2.0,51.0,0,250.0,Recife,Várzea,280000.0
234,For sale,3.0,61.0,0,300.0,Recife,Zumbi,320000.0
235,For sale,4.0,174.0,2.0,1100.0,Recife,Boa Viagem,800000.0
236,For sale,4.0,360.0,3.0,0.0,Recife,Boa Viagem,850000.0
237,For sale,2.0,92.0,0,100.0,Paulista,Janga,135000.0
238,For sale,3.0,105.0,2.0,750.0,Recife,Casa Amarela,871500.0
239,For sale,2.0,58.0,0,340.0,Recife,Prado,280000.0
240,For sale,4.0,205.0,2.0,1748.0,Recife,Boa Viagem,1300000.0
241,For sale,3.0,86.0,2.0,640.0,Recife,Boa Viagem,550000.0
242,For sale,2.0,54.0,0,0.0,Paulista,Pau Amarelo,
243,For sale,4.0,147.0,3.0,0.0,Recife,Poço,1026100.0
244,For sale,2.0,52.0,0,0.0,Recife,Boa Vista,372000.0
245,For sale,,32.0,0,371.0,Recife,Parnamirim,399000.0
246,For sale,,32.0,0,0.0,Recife,Boa Viagem,250000.0
247,For sale,,36.0,0,0.0,Recife,Poço,335200.0
248,For sale,,42.0,0,0.0,Recife,Boa Viagem,386700.0
249,For sale,2.0,50.0,0,0.0,Recife,Torre,330000.0
250,For sale,3.0,81.0,2.0,0.0,Recife,Pina,705470.0
251,For sale,3.0,71.0,0,0.0,Recife,Pina,455000.0
